	Activity_ID	Quality	source	CID	SMILES	connectivity	InChIKey	InChI	InChI_AuxInfo	target_id	TID	accession	Protein_Type	AID	doc_id	Year	all_doc_ids	all_years	type_IC50	type_EC50	type_KD	type_Ki	type_other	Activity_class	relation	pchembl_value	pchembl_value_Mean	pchembl_value_StdDev	pchembl_value_SEM	pchembl_value_N	pchembl_value_Median	pchembl_value_MAD
117041	AYNCXNUUERDREH_on_Q09472_WT	High	ChEMBL31	ChEMBL31.compound.397927	Cc1ccc(N2C(=O)C(=CC=Cc3ccco3)C(=O)NC2=S)cc1Cl	AYNCXNUUERDREH	AYNCXNUUERDREH-UHFFFAOYSA-N	InChI=1S/C18H13ClN2O3S/c1-11-7-8-12(10-15(11)19)21-17(23)14(16(22)20-18(21)25)6-2-4-13-5-3-9-24-13/h2-10H,1H3,(H,20,22,25)	"""AuxInfo=1/1/N:1,11,15,12,14,10,3,4,16,23,2,5,13,9,24,18,7,21,25,20,6,19,8,17,22/rA:25CCCCCNCOCCCCCCCCOCONCSCCCl/rB:s1;d2;s3;d4;s5;s6;d7;s7;w?9;s10;w?11;s12;d13;s14;d15;s13s16;s9;d18;s18;s6s20;d21;s5;s2d23;s24;/rC:;;;;;;;;;;;;;;;;;;;;;;;;;"""	Q09472_WT	ChEMBL:CHEMBL3784;ChEMBL:CHEMBL3784;ChEMBL:CHEMBL3784;ChEMBL:CHEMBL3784	Q09472	WT	CHEMBL4269181;CHEMBL4325424;CHEMBL4269181;CHEMBL4325424	PMID:30297119	2018.0	PMID:30297119;PMID:31910017;PMID:30297119;PMID:31910017	2018;2020;2018;2020	1	0	0	0	0		=	  6.160;  6.160;  6.160;  6.160	6.16	0.0	0.0	4.0	6.16	0.0
117703	AYQYIBVVCJFCAE_on_Q09472_WT	High	ChEMBL31	ChEMBL31.compound.260572	CC1=NN(c2ccc(C(=O)O)cc2)C(=O)C1=CCc1ccc(Cc2cc(C)c(C)cc2[N+](=O)[O-])o1	AYQYIBVVCJFCAE	AYQYIBVVCJFCAE-UHFFFAOYSA-N	InChI=1S/C26H23N3O6/c1-15-12-19(24(29(33)34)13-16(15)2)14-22-9-8-21(35-22)10-11-23-17(3)27-28(25(23)30)20-6-4-18(5-7-20)26(31)32/h4-9,11-13H,10,14H2,1-3H3,(H,31,32)	"""AuxInfo=1/1/N:27,29,1,7,12,6,13,20,21,18,17,25,30,23,26,28,2,8,24,5,19,22,16,31,14,9,3,4,32,15,10,11,33,34,35/E:(4,5)(6,7)(31,32)(33,34)/CRV:29.5/rA:35CCNNCCCCCOOCCCOCCCCCCCCCCCCCCCCN+OO-O/rB:s1;w?2;s3;s4;d5;s6;d7;s8;d9;s9;s8;s5d12;s4;d14;s2s14;w?16;s17;s18;d19;s20;d21;s22;s23;d24;s25;s26;d26;s28;s28;s24d30;s31;d32;s32;s19s22;/rC:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"""	Q09472_WT	ChEMBL:CHEMBL3784;ChEMBL:CHEMBL3784	Q09472	WT	CHEMBL3424792	PMID:25730130	2015.0	PMID:25730130	2015	1	0	0	0	0		=	  5.800;  5.800	5.8	0.0	0.0	2.0	5.8	0.0
118386	AYURKVVCUVKFLJ_on_Q09472_WT	High	ChEMBL31	ChEMBL31.compound.259015	CNc1nc(-c2ccccc2)[n+](-c2ccc(C)cc2)s1	AYURKVVCUVKFLJ	AYURKVVCUVKFLJ-UHFFFAOYSA-O	InChI=1S/C16H15N3S/c1-12-8-10-14(11-9-12)19-15(18-16(17-2)20-19)13-6-4-3-5-7-13/h3-11H,1-2H3/p+1	"""AuxInfo=1/5/N:17,1,9,8,10,7,11,15,18,14,19,16,6,13,5,3,2,4,12,20/E:(4,5)(6,7)(8,9)(10,11)/rA:20CNCNCCCCCCCN+CCCCCCCS/rB:s1;s2;d3;s4;s5;d6;s7;d8;s9;s6d10;d5;s12;d13;s14;d15;s16;s16;s13d18;s3s12;/rC:;;;;;;;;;;;;;;;;;;;;"""	Q09472_WT	ChEMBL:CHEMBL3784;ChEMBL:CHEMBL3784	Q09472	WT	CHEMBL3419558	PMID:25634295	2015.0	PMID:25634295	2015	1	0	0	0	0		=	  5.700;  5.700	5.7	0.0	0.0	2.0	5.7	0.0
139450	BDHPCBMLVYQSHL_on_Q09472_WT	High	ChEMBL31	ChEMBL31.compound.400824	CN(C)C(=O)c1cccc(-c2cn(C)c(O)c3nccc2-3)c1	BDHPCBMLVYQSHL	BDHPCBMLVYQSHL-UHFFFAOYSA-N	InChI=1S/C17H17N3O2/c1-19(2)16(21)12-6-4-5-11(9-12)14-10-20(3)17(22)15-13(14)7-8-18-15/h4-10,22H,1-3H3	"""AuxInfo=1/0/N:1,3,14,8,9,7,20,19,22,12,10,6,21,11,17,4,15,18,2,13,5,16/E:(1,2)/rA:22CNCCOCCCCCCCNCCOCNCCCC/rB:s1;s2;s2;d4;s4;d6;s7;d8;s9;s10;d11;s12;s13;s13;s15;d15;s17;d18;s19;s11s17d20;s6d10;/rC:;;;;;;;;;;;;;;;;;;;;;;"""	Q09472_WT	ChEMBL:CHEMBL3784;ChEMBL:CHEMBL3784	Q09472	WT	CHEMBL4425871	PMID:27219867	2016.0	PMID:27219867	2016	1	0	0	0	0		=	  6.570;  6.570	6.57	0.0	0.0	2.0	6.57	0.0
151246	BFTKDWYIRJGJCA_on_Q09472_WT	High	ChEMBL31	ChEMBL31.compound.302428	CC1CC(=O)Nc2c(N1)c(-c1cc3c(cc1)n(C)nc3-c1cn(C)nc1)ccc2	BFTKDWYIRJGJCA	BFTKDWYIRJGJCA-UHFFFAOYSA-N	InChI=1S/C22H22N6O/c1-13-9-20(29)25-18-6-4-5-16(22(18)24-13)14-7-8-19-17(10-14)21(26-28(19)3)15-11-23-27(2)12-15/h4-8,10-13,24H,9H2,1-3H3,(H,25,29)	"""AuxInfo=1/1/N:1,24,18,28,27,29,16,15,3,12,26,22,2,11,21,10,13,7,14,4,20,8,25,9,6,19,23,17,5/rA:29CCCCONCCNCCCCCCCNCNCCCNCNCCCC/rB:s1;s2;s3;d4;s4;s6;d7;s2s8;s8;s10;d11;s12;d13;s14;s11d15;s14;s17;s17;s13d19;s20;d21;s22;s23;s23;s21d25;d10;s27;s7d28;/rC:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"""	Q09472_WT	ChEMBL:CHEMBL3784;ChEMBL:CHEMBL3784	Q09472	WT	CHEMBL3817162	PMID:27190605	2016.0	PMID:27190605	2016	1	0	0	0	0		=	  7.290;  7.290	7.29	0.0	0.0	2.0	7.29	0.0
162542	BICNRUFKCWJSQG_on_Q09472_WT	High	ChEMBL31	ChEMBL31.compound.259011	O=[N+]([O-])c1c(Sc2ncnc3c2nc[nH]3)c2nsnc2c(Br)c1	BICNRUFKCWJSQG	BICNRUFKCWJSQG-UHFFFAOYSA-N	InChI=1S/C11H4BrN7O2S2/c12-4-1-5(19(20)21)9(7-6(4)17-23-18-7)22-11-8-10(14-2-13-8)15-3-16-11/h1-3H,(H,13,14,15,16)	"""AuxInfo=1/1/N:23,14,9,21,4,20,16,12,5,11,7,22,13,15,10,8,19,17,2,1,3,6,18/E:(20,21)/CRV:19.5/rA:23ON+O-CCSCNCNCCNCNCNSNCCBrC/rB:d1;s2;s2;d4;s5;s6;d7;s8;d9;s10;s7d11;s12;d13;s11s14;s5;d16;s17;s18;s16d19;s20;s21;s4d21;/rC:;;;;;;;;;;;;;;;;;;;;;;;"""	Q09472_WT	ChEMBL:CHEMBL3784;ChEMBL:CHEMBL3784	Q09472	WT	CHEMBL3419558	PMID:25634295	2015.0	PMID:25634295	2015	1	0	0	0	0		=	  5.660;  5.660	5.66	0.0	0.0	2.0	5.66	0.0
170730	BJUXGZGSKAEGKM_on_Q09472_WT	High	ChEMBL31	ChEMBL31.compound.443168	Cc1nc(C(=O)C(NCCc2ccc(C#N)cc2)c2ccccc2)c2ccc(-c3cn(C)nc3)cn12	BJUXGZGSKAEGKM	BJUXGZGSKAEGKM-UHFFFAOYSA-N	InChI=1S/C29H26N6O/c1-20-33-28(26-13-12-24(19-35(20)26)25-17-32-34(2)18-25)29(36)27(23-6-4-3-5-7-23)31-15-14-21-8-10-22(16-30)11-9-21/h3-13,17-19,27,31H,14-15H2,1-2H3	"""AuxInfo=1/0/N:1,32,22,21,23,20,24,12,18,13,17,27,26,10,9,15,34,30,35,2,11,14,19,28,29,25,7,4,5,16,8,33,3,31,36,6/E:(4,5)(6,7)(8,9)(10,11)/rA:36CCNCCOCNCCCCCCCNCCCCCCCCCCCCCCNCNCCN/rB:s1;d2;s3;s4;d5;s5;s7;s8;s9;s10;d11;s12;d13;s14;t15;s14;s11d17;s7;d19;s20;d21;s22;s19d23;d4;s25;d26;s27;s28;d29;s30;s31;s31;s29d33;d28;s2s25s35;/rC:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"""	Q09472_WT	ChEMBL:CHEMBL3784;ChEMBL:CHEMBL3784	Q09472	WT	CHEMBL4619245	PMID:32551019	2020.0	PMID:32551019	2020	1	0	0	0	0		=	  6.280;  6.280	6.28	0.0	0.0	2.0	6.28	0.0
188697	BNJIGTSAPAJMFC_on_Q09472_WT	High	ChEMBL31	ChEMBL31.compound.443174	Cn1cc(-c2cnc(NC(=O)C(NCCc3ccc(C#N)cc3)c3ccccc3)cn2)cn1	BNJIGTSAPAJMFC	BNJIGTSAPAJMFC-UHFFFAOYSA-N	InChI=1S/C25H23N7O/c1-32-17-21(14-30-32)22-15-29-23(16-28-22)31-25(33)24(20-5-3-2-4-6-20)27-12-11-18-7-9-19(13-26)10-8-18/h2-10,14-17,24,27H,11-12H2,1H3,(H,29,31,33)	"""AuxInfo=1/1/N:1,27,26,28,25,29,17,23,18,22,15,14,20,32,6,30,3,16,19,24,4,5,8,12,10,21,13,31,7,33,9,2,11/E:(3,4)(5,6)(7,8)(9,10)/rA:33CNCCCCNCNCOCNCCCCCCCNCCCCCCCCCNCN/rB:s1;s2;d3;s4;d5;s6;d7;s8;s9;d10;s10;s12;s13;s14;s15;d16;s17;d18;s19;t20;s19;s16d22;s12;d24;s25;d26;s27;s24d28;s8;s5d30;s4;s2d32;/rC:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"""	Q09472_WT	ChEMBL:CHEMBL3784;ChEMBL:CHEMBL3784	Q09472	WT	CHEMBL4619245	PMID:32551019	2020.0	PMID:32551019	2020	1	0	0	0	0		=	  6.340;  6.340	6.34	0.0	0.0	2.0	6.34	0.0
192711	BOFPSWBVJMVDJI_on_Q09472_WT	High	ChEMBL31	ChEMBL31.compound.411741	Cc1c(C)cc(C(F)(F)F)c(-c2ccc(C=C3C(=O)N(c4ccc(C(=O)O)cc4)N=C3C3CC3)s2)c1	BOFPSWBVJMVDJI	BOFPSWBVJMVDJI-UHFFFAOYSA-N	InChI=1S/C27H21F3N2O3S/c1-14-11-20(22(12-15(14)2)27(28,29)30)23-10-9-19(36-23)13-21-24(16-3-4-16)31-32(25(21)33)18-7-5-17(6-8-18)26(34)35/h5-13,16H,3-4H2,1-2H3,(H,34,35)	"""AuxInfo=1/1/N:1,4,33,34,23,28,22,29,14,13,36,5,16,2,3,32,24,21,15,11,17,6,12,31,18,25,7,8,9,10,30,20,19,26,27,35/E:(3,4)(5,6)(7,8)(28,29,30)(34,35)/rA:36CCCCCCCFFFCCCCCCCCONCCCCCOOCCNCCCCSC/rB:s1;d2;s3;s3;d5;s6;s7;s7;s7;s6;s11;d12;s13;d14;s15;w?16;s17;d18;s18;s20;d21;s22;d23;s24;d25;s25;s24;s21d28;s20;s17w?30;s31;s32;s32s33;s12s15;s2d11;/rC:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"""	Q09472_WT	ChEMBL:CHEMBL3784;ChEMBL:CHEMBL3784	Q09472	WT	CHEMBL4361756	PMID:31306905	2019.0	PMID:31306905	2019	1	0	0	0	0		=	  6.800;  6.800	6.8	0.0	0.0	2.0	6.8	0.0
202151	BQGPBEIPKDAHOF_on_Q09472_WT	High	ChEMBL31	ChEMBL31.compound.461903	C#CCNCCCCCOc1ccc2nc(C)c(C(=O)OCC)cc2c1	BQGPBEIPKDAHOF	BQGPBEIPKDAHOF-UHFFFAOYSA-N	InChI=1S/C21H26N2O3/c1-4-11-22-12-7-6-8-13-26-18-9-10-20-17(14-18)15-19(16(3)23-20)21(24)25-5-2/h1,9-10,14-15,22H,5-8,11-13H2,2-3H3	"""AuxInfo=1/0/N:1,23,17,2,22,7,6,8,12,13,3,5,9,26,24,16,25,11,18,14,19,4,15,20,21,10/rA:26CCCNCCCCCOCCCCNCCCCOOCCCCC/rB:t1;s2;s3;s4;s5;s6;s7;s8;s9;s10;d11;s12;d13;s14;d15;s16;s16;s18;d19;s19;s21;s22;d18;s14s24;s11d25;/rC:;;;;;;;;;;;;;;;;;;;;;;;;;;"""	Q09472_WT	ChEMBL:CHEMBL3784;ChEMBL:CHEMBL3784	Q09472	WT	CHEMBL4733339	PMID:31195169	2019.0	PMID:33045661	2021	1	0	0	0	0		=	  4.240;  4.240	4.24	0.0	0.0	2.0	4.24	0.0
220389	BTZVFYMYBLNIBS_on_Q09472_WT	High	ChEMBL31	ChEMBL31.compound.423254	COc1cc2c(cc1OC)C[N+]1(Cc3ccccc3)CCCc3c(cc4OCOc4c3)C1C2	BTZVFYMYBLNIBS	BTZVFYMYBLNIBS-UHFFFAOYSA-N	InChI=1S/C28H30NO4/c1-30-25-13-21-11-24-23-15-28-27(32-18-33-28)12-20(23)9-6-10-29(24,16-19-7-4-3-5-8-19)17-22(21)14-26(25)31-2/h3-5,7-8,12-15,24H,6,9-11,16-18H2,1-2H3/q+1	"""AuxInfo=1/0/N:1,10,17,16,18,21,15,19,22,20,33,31,4,7,25,13,11,28,14,23,5,6,24,32,3,8,30,26,12,2,9,29,27/E:(4,5)(7,8)/CRV:29+1/rA:33COCCCCCCOCCN+CCCCCCCCCCCCCCOCOCCCC/rB:s1;s2;d3;s4;d5;s6;s3d7;s8;s9;s6;s11;s12;s13;d14;s15;d16;s17;s14d18;s12;s20;s21;s22;d23;s24;d25;s26;s27;s28;s26s29;s23d30;s12s24;s5s32;/rC:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"""	Q09472_WT	ChEMBL:CHEMBL3784;ChEMBL:CHEMBL3784	Q09472	WT	CHEMBL4407052	PMID:31195169	2019.0	PMID:31195169	2019	1	0	0	0	0		=	  5.750;  5.750	5.75	0.0	0.0	2.0	5.75	0.0
